state,reading_grade8_2022
DoDEA,282
New Jersey,270
Massachusetts,269
Utah,265
Connecticut,264
Vermont,264
Idaho,264
Colorado,263
New Hampshire,263
Wisconsin,262
Ohio,262
Illinois,262
South Dakota,262
New York,262
Washington,262
Montana,261
Wyoming,261
Indiana,261
Minnesota,260
Georgia,260
Iowa,260
Florida,260
Virginia,260
Rhode Island,259
Nebraska,259
Maryland,259
National public,259
Pennsylvania,259
Hawaii,259
Nevada,259
California,259
Arizona,259
Michigan,259
Kentucky,258
North Dakota,258
Missouri,258
Tennessee,258
Oregon,257
Maine,257
Louisiana,257
Kansas,256
North Carolina,256
Texas,255
Arkansas,255
South Carolina,254
Delaware,253
Mississippi,253
Alaska,253
Oklahoma,251
Alabama,251
District of Columbia,250
West Virginia,249
New Mexico,248
Puerto Rico,—
