state,math_grade8_2019
Massachusetts,294
DoDEA,292
New_Jersey,292
Minnesota,291
Wisconsin,289
New_Hampshire,287
South_Dakota,287
Virginia,287
Vermont,287
Wyoming,286
Connecticut,286
Idaho,286
Washington,286
Ohio,286
Indiana,286
North_Dakota,286
Pennsylvania,285
Nebraska,285
Utah,285
Colorado,285
Montana,284
North_Carolina,284
Illinois,283
Maine,282
Kansas,282
Iowa,282
National_public,281
Missouri,281
New_York,280
Michigan,280
Maryland,280
Tennessee,280
Arizona,280
Texas,280
Oregon,280
Georgia,279
Florida,279
Kentucky,278
Delaware,277
Oklahoma,276
South_Carolina,276
Rhode_Island,276
California,276
Hawaii,275
Arkansas,274
Alaska,274
Nevada,274
Mississippi,274
West_Virginia,272
Louisiana,272
District_of_Columbia,269
New_Mexico,269
Alabama,269
Puerto_Rico,222
