state,math_grade4_2019
DoDEA,250
Minnesota,248
Massachusetts,247
Virginia,247
Florida,246
New_Jersey,246
Wyoming,246
Indiana,245
New_Hampshire,245
Pennsylvania,244
Utah,244
Nebraska,244
Texas,244
Connecticut,243
North_Dakota,243
Idaho,242
Colorado,242
Wisconsin,242
North_Carolina,241
South_Dakota,241
Ohio,241
Montana,241
Maine,241
Mississippi,241
Iowa,241
National_public,240
Tennessee,240
Washington,240
Kansas,239
Rhode_Island,239
Delaware,239
Kentucky,239
Vermont,239
Hawaii,239
Maryland,239
Missouri,238
Georgia,238
Arizona,238
Illinois,237
Oklahoma,237
South_Carolina,237
New_York,237
Oregon,236
Michigan,236
Nevada,236
California,235
District_of_Columbia,235
Arkansas,233
Alaska,232
West_Virginia,231
Louisiana,231
New_Mexico,231
Alabama,230
Puerto_Rico,185
