state,math_grade8_2022
DoDEA,292
Massachusetts,284
Utah,282
Idaho,282
South_Dakota,281
Wisconsin,281
Wyoming,281
New_Jersey,281
Minnesota,280
Nebraska,279
Virginia,279
Indiana,279
New_Hampshire,279
North_Dakota,278
Montana,277
Iowa,277
Connecticut,276
Vermont,276
Washington,276
Ohio,276
Illinois,275
Colorado,275
Pennsylvania,274
New_York,274
North_Carolina,274
National_public,273
Texas,273
Michigan,273
Maine,273
Missouri,272
Tennessee,272
Kansas,272
Georgia,271
Florida,271
Arizona,271
Rhode_Island,270
Oregon,270
Hawaii,270
Alaska,270
California,270
Kentucky,269
Nevada,269
South_Carolina,269
Maryland,269
Arkansas,267
Louisiana,266
Mississippi,266
Alabama,264
Delaware,264
Oklahoma,264
West_Virginia,260
District_of_Columbia,260
New_Mexico,259
Puerto_Rico,216
